,open,high,low,close,volume,range,range_shift1,target
2021-03-02 04:38:00,58.9,58.9,58.9,58.9,2680.22920203,0.0,,
2021-03-02 04:41:00,58.8,58.8,58.8,58.8,3181.98492131,0.0,0.0,58.8
2021-03-02 04:42:00,58.8,58.8,58.8,58.8,157735.46115379,0.0,0.0,58.8
2021-03-02 04:43:00,58.9,58.9,58.9,58.9,443.05142415,0.0,0.0,58.9
2021-03-02 04:44:00,59.0,59.0,59.0,59.0,8489.66747654,0.0,0.0,59.0
2021-03-02 04:47:00,59.0,59.1,59.0,59.0,3377.08662447,0.05000000000000071,0.0,59.0
2021-03-02 04:48:00,59.2,59.2,58.9,58.9,13382.36515074,0.15000000000000213,0.05000000000000071,59.25
2021-03-02 04:49:00,58.9,58.9,58.9,58.9,305.0,0.0,0.15000000000000213,59.05
2021-03-02 04:53:00,59.0,59.0,59.0,59.0,169.40677,0.0,0.0,59.0
2021-03-02 04:57:00,59.0,59.0,59.0,59.0,847.45762711,0.0,0.0,59.0
2021-03-02 05:01:00,58.8,58.8,58.8,58.8,217.57498504,0.0,0.0,58.8
2021-03-02 05:03:00,59.0,59.0,59.0,59.0,678.05085713,0.0,0.0,59.0
2021-03-02 05:05:00,59.0,59.1,59.0,59.1,6187.41483944,0.05000000000000071,0.0,59.0
2021-03-02 05:07:00,59.1,59.1,59.1,59.1,33840.94754653,0.0,0.05000000000000071,59.150000000000006
2021-03-02 05:09:00,59.0,59.0,59.0,59.0,723.19554508,0.0,0.0,59.0
2021-03-02 05:13:00,59.0,59.0,59.0,59.0,6292.91121678,0.0,0.0,59.0
2021-03-02 05:16:00,59.1,59.1,58.8,58.8,77724.19041694,0.15000000000000213,0.0,59.1
2021-03-02 05:17:00,58.8,58.8,58.8,58.8,136872.25801724,0.0,0.15000000000000213,58.95
2021-03-02 05:21:00,58.7,58.8,58.7,58.8,66036.58130062,0.04999999999999716,0.0,58.7
2021-03-02 05:22:00,58.8,58.8,58.8,58.8,386.94144574,0.0,0.04999999999999716,58.849999999999994
2021-03-02 05:23:00,58.7,58.7,58.7,58.7,2925.56356077,0.0,0.0,58.7
2021-03-02 05:25:00,58.7,58.8,58.7,58.8,2100.22835556,0.04999999999999716,0.0,58.7
2021-03-02 05:26:00,59.0,59.0,59.0,59.0,636.1472,0.0,0.04999999999999716,59.05
2021-03-02 05:27:00,59.1,59.1,59.1,59.1,14412.07445003,0.0,0.0,59.1
2021-03-02 05:28:00,59.0,59.1,59.0,59.1,2578.5431472,0.05000000000000071,0.0,59.0
2021-03-02 05:29:00,59.1,59.1,59.1,59.1,3905.57761305,0.0,0.05000000000000071,59.150000000000006
2021-03-02 05:30:00,59.1,59.1,59.1,59.1,1700.0,0.0,0.0,59.1
2021-03-02 05:34:00,59.0,59.0,59.0,59.0,5000.0,0.0,0.0,59.0
2021-03-02 05:35:00,59.0,59.0,59.0,59.0,1747.31010563,0.0,0.0,59.0
2021-03-02 05:39:00,59.0,59.0,59.0,59.0,2710.45762711,0.0,0.0,59.0
2021-03-02 05:41:00,59.0,59.0,59.0,59.0,508.47457627,0.0,0.0,59.0
2021-03-02 05:43:00,59.0,59.0,59.0,59.0,6618.52966101,0.0,0.0,59.0
2021-03-02 05:44:00,58.8,58.8,58.8,58.8,2380.06642117,0.0,0.0,58.8
2021-03-02 05:47:00,58.8,58.8,58.8,58.8,9675.12637419,0.0,0.0,58.8
2021-03-02 05:48:00,58.8,58.8,58.8,58.8,1313.05494002,0.0,0.0,58.8
2021-03-02 05:49:00,58.8,58.8,58.7,58.8,9761.90476191,0.04999999999999716,0.0,58.8
2021-03-02 05:50:00,58.8,58.8,58.8,58.8,3000.0,0.0,0.04999999999999716,58.849999999999994
2021-03-02 05:51:00,58.8,58.8,58.8,58.8,1416.42006802,0.0,0.0,58.8
2021-03-02 05:52:00,58.8,58.8,58.8,58.8,1912.47874149,0.0,0.0,58.8
2021-03-02 05:55:00,58.8,58.8,58.8,58.8,7026.36612728,0.0,0.0,58.8
2021-03-02 05:56:00,58.8,58.8,58.8,58.8,24278.62763433,0.0,0.0,58.8
2021-03-02 05:57:00,58.8,58.8,58.8,58.8,85.0340136,0.0,0.0,58.8
2021-03-02 06:00:00,58.8,58.8,58.8,58.8,85.0340136,0.0,0.0,58.8
2021-03-02 06:04:00,58.7,58.7,58.7,58.7,7816.18394591,0.0,0.0,58.7
2021-03-02 06:05:00,58.7,58.7,58.7,58.7,19036.37755102,0.0,0.0,58.7
2021-03-02 06:06:00,58.7,58.7,58.7,58.7,1105.31537132,0.0,0.0,58.7
2021-03-02 06:07:00,58.7,58.7,58.7,58.7,1207.49603966,0.0,0.0,58.7
2021-03-02 06:08:00,58.7,58.7,58.7,58.7,445.54455445,0.0,0.0,58.7
2021-03-02 06:11:00,58.7,58.7,58.7,58.7,892.15189821,0.0,0.0,58.7
2021-03-02 06:13:00,58.7,58.7,58.7,58.7,527.62888717,0.0,0.0,58.7
2021-03-02 06:14:00,58.7,58.7,58.7,58.7,17064.84641638,0.0,0.0,58.7
2021-03-02 06:15:00,58.7,58.7,58.7,58.7,139.89446557,0.0,0.0,58.7
2021-03-02 06:18:00,58.9,58.9,58.9,58.9,1696.94439707,0.0,0.0,58.9
2021-03-02 06:23:00,58.9,58.9,58.9,58.9,4502.29893541,0.0,0.0,58.9
2021-03-02 06:25:00,58.9,58.9,58.7,58.7,5221.62754162,0.09999999999999787,0.0,58.9
2021-03-02 06:28:00,58.8,58.8,58.8,58.8,2730.86245992,0.0,0.09999999999999787,58.89999999999999
2021-03-02 06:29:00,58.7,58.7,58.7,58.7,101.52284263,0.0,0.0,58.7
2021-03-02 06:30:00,58.8,58.8,58.8,58.8,128.58303209,0.0,0.0,58.8
2021-03-02 06:33:00,58.8,59.0,58.8,59.0,154651.77371046,0.10000000000000142,0.0,58.8
2021-03-02 06:34:00,59.0,59.0,59.0,59.0,100.0,0.0,0.10000000000000142,59.1
2021-03-02 06:35:00,59.0,59.0,59.0,59.0,250.0,0.0,0.0,59.0
2021-03-02 06:36:00,59.0,59.0,59.0,59.0,51186.44067795,0.0,0.0,59.0
2021-03-02 06:38:00,58.8,58.8,58.8,58.8,10541.86687574,0.0,0.0,58.8
2021-03-02 06:39:00,58.9,58.9,58.9,58.9,20000.0,0.0,0.0,58.9
2021-03-02 06:40:00,59.0,59.0,59.0,59.0,10183.87960057,0.0,0.0,59.0
2021-03-02 06:42:00,58.9,58.9,58.9,58.9,344.45489119,0.0,0.0,58.9
2021-03-02 06:43:00,58.9,58.9,58.9,58.9,38402.67122265,0.0,0.0,58.9
2021-03-02 06:45:00,59.0,59.0,59.0,59.0,52411.32141803,0.0,0.0,59.0
2021-03-02 06:46:00,59.0,59.0,58.9,58.9,21668.18906571,0.05000000000000071,0.0,59.0
2021-03-02 06:47:00,58.9,59.1,58.9,59.1,11302.84405631,0.10000000000000142,0.05000000000000071,58.95
2021-03-02 06:48:00,59.1,59.1,59.1,59.1,8460.23688663,0.0,0.10000000000000142,59.2
2021-03-02 06:49:00,59.1,59.1,59.1,59.1,3000.0,0.0,0.0,59.1
2021-03-02 06:50:00,59.0,59.1,58.9,59.1,95652.66596198,0.10000000000000142,0.0,59.0
2021-03-02 06:51:00,59.1,59.1,59.1,59.1,16920.47377326,0.0,0.10000000000000142,59.2
2021-03-02 06:52:00,59.1,59.1,59.1,59.1,174013.33919164,0.0,0.0,59.1
2021-03-02 06:55:00,59.1,59.1,59.1,59.1,11081.30287647,0.0,0.0,59.1
2021-03-02 06:56:00,59.1,59.1,59.1,59.1,14108.65482233,0.0,0.0,59.1
2021-03-02 06:57:00,59.1,59.1,59.1,59.1,17130.85927425,0.0,0.0,59.1
2021-03-02 06:58:00,58.9,58.9,58.9,58.9,4201.97188093,0.0,0.0,58.9
2021-03-02 06:59:00,58.9,58.9,58.9,58.9,20265.7684763,0.0,0.0,58.9
2021-03-02 07:00:00,59.1,60.2,59.1,60.1,2211690.73880183,0.5500000000000007,0.0,59.1
2021-03-02 07:01:00,59.9,60.4,59.9,60.4,635640.80415008,0.25,0.5500000000000007,60.45
2021-03-02 07:02:00,60.3,61.1,60.3,60.3,1544488.20991444,0.40000000000000213,0.25,60.55
2021-03-02 07:03:00,60.4,61.3,60.3,61.2,546646.47422395,0.5,0.40000000000000213,60.8
2021-03-02 07:04:00,61.1,61.4,61.1,61.4,584768.04033963,0.14999999999999858,0.5,61.6
