,open,high,low,trade,tradevol,traceprice
0,56.8,57.0,56.8,57.0,264175.05868745,15013482.79747543
1,57.2,57.3,56.9,56.9,293884.87665165,16787060.73661253
2,57.0,57.2,57.0,57.1,150339.14173764,8570863.51480057
3,56.8,57.0,56.8,57.0,288185.3230457,16408838.02815367
4,57.1,57.1,56.4,56.8,323674.22977502,18365777.58540696
5,56.8,57.3,56.8,57.2,236920.81312511,13514171.70049953
6,57.0,57.0,56.7,56.8,232920.84176427,13220726.61564019
7,56.5,57.5,56.5,57.0,90733.12520972,5176587.22662304
8,56.5,56.5,56.4,56.4,44518.21273921,2514466.60910204
9,56.7,56.7,56.6,56.6,14173.37806487,802390.61241018
10,56.7,56.8,56.6,56.7,96871.95792026,5489063.76487317
11,56.8,56.8,56.6,56.6,30552.99512537,1731657.29314652
12,56.6,56.8,56.5,56.8,107595.85356966,6092345.91828149
13,56.7,57.1,56.6,56.6,49065.63073324,2781679.5166979
14,56.9,56.9,56.7,56.7,82726.95575679,4697354.3786032
15,57.0,57.0,56.9,56.9,66169.70423779,3765997.04577815
16,57.1,57.1,56.8,57.0,70478.3703744,4008475.17509487
17,57.1,57.2,56.9,57.1,64813.9636212,3700219.3105949
18,57.0,57.2,56.8,57.2,127788.7786124,7292899.56724674
19,57.1,57.1,56.7,56.8,164276.88028092,9342026.47951459
20,57.0,57.5,57.0,57.2,28120.60260127,1603568.69679424
21,56.8,57.7,56.7,57.2,479405.81798061,27241968.89214553
22,56.7,56.8,56.5,56.6,144398.55015426,8180058.35322832
23,56.7,56.8,56.5,56.8,173649.0792334,9852086.02562738
24,56.7,56.8,56.4,56.6,206705.65510148,11722380.50301021
25,56.6,56.6,56.5,56.6,394015.68686151,22285879.72936451
26,56.7,56.7,56.5,56.6,220258.61194023,12477570.46726361
27,57.0,57.4,56.7,56.8,322258.24133538,18343359.43486392
28,57.6,57.6,57.0,57.4,237531.04659302,13617250.12672134
29,57.6,57.8,57.6,57.6,16619.5607295,957402.9028634
30,57.6,58.1,57.6,57.6,76662.27816227,4416635.97663136
31,57.4,57.6,57.4,57.6,102025.79703348,5868586.52766252
32,57.5,57.5,57.3,57.4,87613.80992515,5029017.98984486
33,57.7,57.7,57.5,57.5,53669.58411184,3092925.16632711
34,58.0,58.0,57.7,57.7,128543.30457398,7420460.91710688
35,58.0,58.1,58.0,58.0,43246.81300587,2510239.85632036
36,58.0,58.0,58.0,58.0,25334.09157489,1469377.31134362
37,57.8,58.0,57.8,58.0,9615.4923369,556428.74719821
38,57.9,57.9,57.9,57.9,64590.4401157,3739786.48269903
39,57.8,57.8,57.8,57.8,30257.62968909,1748890.9960294
40,57.8,57.9,57.7,57.8,68623.70559202,3965212.81866275
41,58.0,58.0,58.0,58.0,26000.0,1508000.0
42,57.8,58.0,57.8,58.0,8933.15794839,517024.99757529
43,57.5,57.8,57.5,57.8,26415.05647196,1520134.65010417
44,57.5,57.5,57.3,57.5,20332.86192888,1168959.66686158
45,57.8,57.8,57.5,57.5,131486.08198042,7589831.4873713
46,57.9,57.9,57.9,57.9,69315.25914934,4013353.50474679
47,58.1,58.1,57.9,57.9,251277.4016254,14568506.86608617
48,58.1,58.1,58.0,58.0,4236.73508211,245911.25856996
49,57.9,58.3,57.9,58.2,142790.17189369,8302394.66028768
50,57.8,58.2,57.8,58.1,141368.32292048,8198947.53472962
51,58.3,58.3,57.8,57.9,117813.84131916,6815612.00894898
52,57.5,58.3,57.3,57.8,690243.80014278,39913010.54676143
53,57.5,57.6,57.5,57.5,4421.17061291,254337.12278959
54,57.2,57.4,57.2,57.4,241695.01404112,13842937.70053292
55,57.2,57.3,57.2,57.2,45287.26504757,2594567.74178558
56,57.4,57.4,57.3,57.3,68178.21258243,3911353.78258321
57,56.6,57.4,56.6,57.3,60378.89494239,3455922.0221943
58,57.2,57.4,56.2,56.8,636162.00055403,36070935.57412368
59,57.0,57.4,56.9,57.4,97083.32204364,5546213.81637275
0,57.2,57.4,57.2,57.4,104911.79150374,6020949.68980188
1,57.3,57.4,57.0,57.2,95259.6037368,5458343.8744828
2,57.4,57.4,57.3,57.3,144105.69673191,8269349.49164798
3,57.3,57.5,57.3,57.4,5617.1831526,322038.15456391
4,57.5,57.5,57.2,57.3,168900.21915044,9679496.7140175
5,57.6,57.6,57.3,57.5,168853.42452737,9713797.11886085
6,57.7,57.8,57.5,57.8,12139.95397014,698091.68430558
7,57.2,57.8,57.2,57.8,31356.98194994,1797302.74408122
8,57.0,57.2,57.0,57.2,142854.43526815,8164390.85934483
